CountryName,CategoryName,CategoryTotal
Iraq,Violent discipline (%)+ 2005–2012* female,77
Ireland,Birth registration (%)+ 2005–2012* total,100
Israel,Birth registration (%)+ 2005–2012* total,100
Ital,Birth registration (%)+ 2005–2012* total,100
Jamaica,Child labour (%)+ 2005–2012* total,6
Jamaica,Child labour (%)+ 2005–2012* male,7
Jamaica,Child labour (%)+ 2005–2012* female,5
Jamaica,Child marriage (%) 2005–2012* married by 15,1
Jamaica,Child marriage (%) 2005–2012* married by 18,9
Jamaica,Birth registration (%)+ 2005–2012* total,98
Jamaica,Justification of wife beating (%)  2005–2012* male,22
Jamaica,Justification of wife beating (%)  2005–2012* female,3
Jamaica,Violent discipline (%)+ 2005–2012* total,89
Jamaica,Violent discipline (%)+ 2005–2012* male,90
Jamaica,Violent discipline (%)+ 2005–2012* female,87
Japan,Birth registration (%)+ 2005–2012* total,100
Jordan,Child labour (%)+ 2005–2012* total,2
Jordan,Child labour (%)+ 2005–2012* male,3
Jordan,Child marriage (%) 2005–2012* married by 15,1
Jordan,Child marriage (%) 2005–2012* married by 18,10
Jordan,Birth registration (%)+ 2005–2012* total,99
Jordan,Justification of wife beating (%)  2005–2012* female,90
Kazakhstan,Child labour (%)+ 2005–2012* total,2
Kazakhstan,Child labour (%)+ 2005–2012* male,2
Kazakhstan,Child labour (%)+ 2005–2012* female,2
Kazakhstan,Child marriage (%) 2005–2012* married by 18,6
Kazakhstan,Birth registration (%)+ 2005–2012* total,100
Kazakhstan,Justification of wife beating (%)  2005–2012* male,17
Kazakhstan,Justification of wife beating (%)  2005–2012* female,12
Kazakhstan,Violent discipline (%)+ 2005–2012* total,49
Kazakhstan,Violent discipline (%)+ 2005–2012* male,54
Kazakhstan,Violent discipline (%)+ 2005–2012* female,45
Kena,Child labour (%)+ 2005–2012* total,26
Kena,Child labour (%)+ 2005–2012* male,27
Kena,Child labour (%)+ 2005–2012* female,25
Kena,Child marriage (%) 2005–2012* married by 15,6
Kena,Child marriage (%) 2005–2012* married by 18,26
Kena,Birth registration (%)+ 2005–2012* total,60
Kena,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,27
Kena,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,8
Kena,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,10
Kena,Justification of wife beating (%)  2005–2012* male,44
Kena,Justification of wife beating (%)  2005–2012* female,53
Kiribati,Child marriage (%) 2005–2012* married by 15,3
Kiribati,Child marriage (%) 2005–2012* married by 18,20
Kiribati,Birth registration (%)+ 2005–2012* total,94
Kiribati,Justification of wife beating (%)  2005–2012* male,60
Kiribati,Justification of wife beating (%)  2005–2012* female,76
Kiribati,Violent discipline (%)+ 2005–2012* total,81
Krgzstan,Child labour (%)+ 2005–2012* total,4
Krgzstan,Child labour (%)+ 2005–2012* male,4
Krgzstan,Child labour (%)+ 2005–2012* female,3
Krgzstan,Child marriage (%) 2005–2012* married by 15,1
Krgzstan,Child marriage (%) 2005–2012* married by 18,10
Krgzstan,Birth registration (%)+ 2005–2012* total,96
Krgzstan,Justification of wife beating (%)  2005–2012* female,38
Krgzstan,Violent discipline (%)+ 2005–2012* total,54
Krgzstan,Violent discipline (%)+ 2005–2012* male,58
Krgzstan,Violent discipline (%)+ 2005–2012* female,49
Lao People’s Democratic    Republic,Child labour (%)+ 2005–2012* total,10
Lao People’s Democratic    Republic,Child labour (%)+ 2005–2012* male,9
Lao People’s Democratic    Republic,Child labour (%)+ 2005–2012* female,11
Lao People’s Democratic    Republic,Child marriage (%) 2005–2012* married by 15,9
Lao People’s Democratic    Republic,Child marriage (%) 2005–2012* married by 18,35
Lao People’s Democratic    Republic,Birth registration (%)+ 2005–2012* total,75
Lao People’s Democratic    Republic,Justification of wife beating (%)  2005–2012* male,49
Lao People’s Democratic    Republic,Justification of wife beating (%)  2005–2012* female,58
Lao People’s Democratic    Republic,Violent discipline (%)+ 2005–2012* total,76
Lao People’s Democratic    Republic,Violent discipline (%)+ 2005–2012* male,77
Lao People’s Democratic    Republic,Violent discipline (%)+ 2005–2012* female,74
Latia,Birth registration (%)+ 2005–2012* total,100
Lebanon,Child labour (%)+ 2005–2012* total,2
Lebanon,Child labour (%)+ 2005–2012* male,3
Lebanon,Child labour (%)+ 2005–2012* female,1
Lebanon,Child marriage (%) 2005–2012* married by 15,1
Lebanon,Child marriage (%) 2005–2012* married by 18,6
Lebanon,Birth registration (%)+ 2005–2012* total,100
Lebanon,Justification of wife beating (%)  2005–2012* female,10
Lebanon,Violent discipline (%)+ 2005–2012* total,82
Lebanon,Violent discipline (%)+ 2005–2012* male,82
Lebanon,Violent discipline (%)+ 2005–2012* female,82
Lesotho,Child labour (%)+ 2005–2012* total,23
Lesotho,Child labour (%)+ 2005–2012* male,25
Lesotho,Child labour (%)+ 2005–2012* female,21
Lesotho,Child marriage (%) 2005–2012* married by 15,2
Lesotho,Child marriage (%) 2005–2012* married by 18,19
Lesotho,Birth registration (%)+ 2005–2012* total,45
Lesotho,Justification of wife beating (%)  2005–2012* male,48
Lesotho,Justification of wife beating (%)  2005–2012* female,37
Liberia,Child labour (%)+ 2005–2012* total,21
Liberia,Child labour (%)+ 2005–2012* male,21
Liberia,Child labour (%)+ 2005–2012* female,21
Liberia,Child marriage (%) 2005–2012* married by 15,11
Liberia,Child marriage (%) 2005–2012* married by 18,38
Liberia,Birth registration (%)+ 2005–2012* total,4
Liberia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,66
Liberia,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,45
Liberia,Justification of wife beating (%)  2005–2012* male,30
Liberia,Justification of wife beating (%)  2005–2012* female,59
Liberia,Violent discipline (%)+ 2005–2012* total,94
Liberia,Violent discipline (%)+ 2005–2012* male,94
Liberia,Violent discipline (%)+ 2005–2012* female,94
Liechtenstein,Birth registration (%)+ 2005–2012* total,100
Lithuania,Birth registration (%)+ 2005–2012* total,100
Luembourg,Birth registration (%)+ 2005–2012* total,100
Madagascar,Child labour (%)+ 2005–2012* total,28
Madagascar,Child labour (%)+ 2005–2012* male,29
Madagascar,Child labour (%)+ 2005–2012* female,27
Madagascar,Child marriage (%) 2005–2012* married by 15,14
Madagascar,Child marriage (%) 2005–2012* married by 18,48
Madagascar,Birth registration (%)+ 2005–2012* total,80
Madagascar,Justification of wife beating (%)  2005–2012* male,30
Madagascar,Justification of wife beating (%)  2005–2012* female,32
Malawi,Child labour (%)+ 2005–2012* total,26
Malawi,Child labour (%)+ 2005–2012* male,25
Malawi,Child labour (%)+ 2005–2012* female,26
Malawi,Child marriage (%) 2005–2012* married by 15,12
Malawi,Child marriage (%) 2005–2012* married by 18,50
Malawi,Justification of wife beating (%)  2005–2012* male,13
Malawi,Justification of wife beating (%)  2005–2012* female,13
Maldies,Child marriage (%) 2005–2012* married by 18,4
Maldies,Birth registration (%)+ 2005–2012* total,93
Maldies,Justification of wife beating (%)  2005–2012* male,14
Maldies,Justification of wife beating (%)  2005–2012* female,31
Mali,Child labour (%)+ 2005–2012* total,21
Mali,Child labour (%)+ 2005–2012* male,22
Mali,Child labour (%)+ 2005–2012* female,21
Mali,Child marriage (%) 2005–2012* married by 15,15
Mali,Child marriage (%) 2005–2012* married by 18,55
Mali,Birth registration (%)+ 2005–2012* total,81
Mali,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,89
Mali,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,74
Mali,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,73
Mali,Justification of wife beating (%)  2005–2012* female,87
Malta,Birth registration (%)+ 2005–2012* total,100
Marshall Islands,Child marriage (%) 2005–2012* married by 15,6
Marshall Islands,Child marriage (%) 2005–2012* married by 18,26
Marshall Islands,Birth registration (%)+ 2005–2012* total,96
Marshall Islands,Justification of wife beating (%)  2005–2012* male,58
Marshall Islands,Justification of wife beating (%)  2005–2012* female,56
Mauritania,Child labour (%)+ 2005–2012* total,15
Mauritania,Child labour (%)+ 2005–2012* male,14
Mauritania,Child labour (%)+ 2005–2012* female,15
Mauritania,Child marriage (%) 2005–2012* married by 15,14
Mauritania,Child marriage (%) 2005–2012* married by 18,34
Mauritania,Birth registration (%)+ 2005–2012* total,59
Mauritania,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,69
Mauritania,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,54
Mauritania,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,41
Mauritania,Justification of wife beating (%)  2005–2012* female,38
Mauritania,Violent discipline (%)+ 2005–2012* total,87
Mauritania,Violent discipline (%)+ 2005–2012* male,87
Mauritania,Violent discipline (%)+ 2005–2012* female,87
Meico,Child labour (%)+ 2005–2012* total,6
Meico,Child labour (%)+ 2005–2012* male,7
Meico,Child labour (%)+ 2005–2012* female,5
Meico,Child marriage (%) 2005–2012* married by 15,5
Meico,Child marriage (%) 2005–2012* married by 18,23
Meico,Birth registration (%)+ 2005–2012* total,93
Monaco,Birth registration (%)+ 2005–2012* total,100
Mongolia,Child labour (%)+ 2005–2012* total,10
Mongolia,Child labour (%)+ 2005–2012* male,10
Mongolia,Child labour (%)+ 2005–2012* female,11
Mongolia,Child marriage (%) 2005–2012* married by 18,5
Mongolia,Birth registration (%)+ 2005–2012* total,99
Mongolia,Justification of wife beating (%)  2005–2012* male,9
Mongolia,Justification of wife beating (%)  2005–2012* female,10
Mongolia,Violent discipline (%)+ 2005–2012* total,46
Mongolia,Violent discipline (%)+ 2005–2012* male,48
Mongolia,Violent discipline (%)+ 2005–2012* female,43
Montenegro,Child labour (%)+ 2005–2012* total,10
Montenegro,Child labour (%)+ 2005–2012* male,12
Montenegro,Child labour (%)+ 2005–2012* female,8
Montenegro,Child marriage (%) 2005–2012* married by 18,5
Montenegro,Birth registration (%)+ 2005–2012* total,99
Montenegro,Justification of wife beating (%)  2005–2012* female,11
Montenegro,Violent discipline (%)+ 2005–2012* total,63
Montenegro,Violent discipline (%)+ 2005–2012* male,64
Montenegro,Violent discipline (%)+ 2005–2012* female,61
Morocco,Child labour (%)+ 2005–2012* total,8
Morocco,Child labour (%)+ 2005–2012* male,9
Morocco,Child labour (%)+ 2005–2012* female,8
Morocco,Child marriage (%) 2005–2012* married by 15,3
Morocco,Child marriage (%) 2005–2012* married by 18,16
Morocco,Birth registration (%)+ 2005–2012* total,94
Morocco,Justification of wife beating (%)  2005–2012* female,64
Morocco,Violent discipline (%)+ 2005–2012* total,91
Morocco,Violent discipline (%)+ 2005–2012* male,92
Morocco,Violent discipline (%)+ 2005–2012* female,90
Mozambique,Child labour (%)+ 2005–2012* total,22
Mozambique,Child labour (%)+ 2005–2012* male,21
Mozambique,Child labour (%)+ 2005–2012* female,24
Mozambique,Child marriage (%) 2005–2012* married by 15,14
Mozambique,Child marriage (%) 2005–2012* married by 18,48
Mozambique,Birth registration (%)+ 2005–2012* total,48
Mozambique,Justification of wife beating (%)  2005–2012* male,20
Mozambique,Justification of wife beating (%)  2005–2012* female,23
Manmar,Birth registration (%)+ 2005–2012* total,72
Namibia,Child marriage (%) 2005–2012* married by 15,2
Namibia,Child marriage (%) 2005–2012* married by 18,9
Namibia,Birth registration (%)+ 2005–2012* total,78
Namibia,Justification of wife beating (%)  2005–2012* male,41
Namibia,Justification of wife beating (%)  2005–2012* female,35
Nauru,Child marriage (%) 2005–2012* married by 15,2
Nauru,Child marriage (%) 2005–2012* married by 18,27
Nauru,Birth registration (%)+ 2005–2012* total,83
Nepal,Child labour (%)+ 2005–2012* total,34
Nepal,Child labour (%)+ 2005–2012* male,30
Nepal,Child labour (%)+ 2005–2012* female,38
Nepal,Child marriage (%) 2005–2012* married by 15,10
Nepal,Child marriage (%) 2005–2012* married by 18,41
Nepal,Birth registration (%)+ 2005–2012* total,42
Nepal,Justification of wife beating (%)  2005–2012* male,22
Nepal,Justification of wife beating (%)  2005–2012* female,23
Netherlands,Birth registration (%)+ 2005–2012* total,100
New Zealand,Birth registration (%)+ 2005–2012* total,100
Nicaragua,Child labour (%)+ 2005–2012* total,15
Nicaragua,Child labour (%)+ 2005–2012* male,18
Nicaragua,Child labour (%)+ 2005–2012* female,11
Nicaragua,Child marriage (%) 2005–2012* married by 15,10
Nicaragua,Child marriage (%) 2005–2012* married by 18,41
Nicaragua,Birth registration (%)+ 2005–2012* total,85
Nicaragua,Justification of wife beating (%)  2005–2012* female,14
Niger,Child labour (%)+ 2005–2012* total,43
Niger,Child labour (%)+ 2005–2012* male,43
Niger,Child labour (%)+ 2005–2012* female,43
Niger,Child marriage (%) 2005–2012* married by 15,36
Niger,Child marriage (%) 2005–2012* married by 18,75
Niger,Birth registration (%)+ 2005–2012* total,32
Niger,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,2
Niger,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,1
Niger,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,3
Niger,Justification of wife beating (%)  2005–2012* female,70
Nigeria,Child labour (%)+ 2005–2012* total,25
Nigeria,Child labour (%)+ 2005–2012* male,24
Nigeria,Child labour (%)+ 2005–2012* female,25
Nigeria,Child marriage (%) 2005–2012* married by 15,20
Nigeria,Child marriage (%) 2005–2012* married by 18,39
Nigeria,Birth registration (%)+ 2005–2012* total,42
Nigeria,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,27
Nigeria,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,14
Nigeria,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,21
Nigeria,Justification of wife beating (%)  2005–2012* female,46
Nigeria,Violent discipline (%)+ 2005–2012* total,91
Nigeria,Violent discipline (%)+ 2005–2012* male,91
Nigeria,Violent discipline (%)+ 2005–2012* female,90
Norwa,Birth registration (%)+ 2005–2012* total,100
Pakistan,Child marriage (%) 2005–2012* married by 15,7
Pakistan,Child marriage (%) 2005–2012* married by 18,24
Pakistan,Birth registration (%)+ 2005–2012* total,27
Panama,Child labour (%)+ 2005–2012* total,6
Panama,Child labour (%)+ 2005–2012* male,8
Panama,Child labour (%)+ 2005–2012* female,3
Papua New Guinea,Child marriage (%) 2005–2012* married by 15,2
Papua New Guinea,Child marriage (%) 2005–2012* married by 18,21
Paragua,Child labour (%)+ 2005–2012* total,15
Paragua,Child labour (%)+ 2005–2012* male,17
Paragua,Child labour (%)+ 2005–2012* female,12
Paragua,Child marriage (%) 2005–2012* married by 18,18
Paragua,Birth registration (%)+ 2005–2012* total,76
Peru,Child labour (%)+ 2005–2012* total,34
Peru,Child labour (%)+ 2005–2012* male,31
Peru,Child labour (%)+ 2005–2012* female,36
Peru,Child marriage (%) 2005–2012* married by 15,3
Peru,Child marriage (%) 2005–2012* married by 18,19
Peru,Birth registration (%)+ 2005–2012* total,96
Philippines,Child marriage (%) 2005–2012* married by 15,2
Philippines,Child marriage (%) 2005–2012* married by 18,14
Philippines,Birth registration (%)+ 2005–2012* total,90
Philippines,Justification of wife beating (%)  2005–2012* female,14
Poland,Birth registration (%)+ 2005–2012* total,100
Portugal,Child labour (%)+ 2005–2012* total,3
Portugal,Child labour (%)+ 2005–2012* male,4
Portugal,Child labour (%)+ 2005–2012* female,3
Portugal,Birth registration (%)+ 2005–2012* total,100
Republic of Moldoa,Child labour (%)+ 2005–2012* total,16
Republic of Moldoa,Child labour (%)+ 2005–2012* male,20
Republic of Moldoa,Child labour (%)+ 2005–2012* female,12
Republic of Moldoa,Child marriage (%) 2005–2012* married by 15,1
Republic of Moldoa,Child marriage (%) 2005–2012* married by 18,19
Republic of Moldoa,Birth registration (%)+ 2005–2012* total,100
Republic of Moldoa,Justification of wife beating (%)  2005–2012* male,22
Republic of Moldoa,Justification of wife beating (%)  2005–2012* female,21
Romania,Child labour (%)+ 2005–2012* total,1
Romania,Child labour (%)+ 2005–2012* male,1
Romania,Child labour (%)+ 2005–2012* female,1
Russian Federation,Birth registration (%)+ 2005–2012* total,100
Rwanda,Child labour (%)+ 2005–2012* total,29
Rwanda,Child labour (%)+ 2005–2012* male,27
Rwanda,Child labour (%)+ 2005–2012* female,30
Rwanda,Child marriage (%) 2005–2012* married by 15,1
Rwanda,Child marriage (%) 2005–2012* married by 18,8
Rwanda,Birth registration (%)+ 2005–2012* total,63
Rwanda,Justification of wife beating (%)  2005–2012* male,25
Rwanda,Justification of wife beating (%)  2005–2012* female,56
Samoa,Birth registration (%)+ 2005–2012* total,48
Samoa,Justification of wife beating (%)  2005–2012* male,46
Samoa,Justification of wife beating (%)  2005–2012* female,61
San Marino,Birth registration (%)+ 2005–2012* total,100
Sao Tome and Principe,Child labour (%)+ 2005–2012* total,8
Sao Tome and Principe,Child labour (%)+ 2005–2012* male,8
Sao Tome and Principe,Child labour (%)+ 2005–2012* female,7
Sao Tome and Principe,Child marriage (%) 2005–2012* married by 15,5
Sao Tome and Principe,Child marriage (%) 2005–2012* married by 18,34
Sao Tome and Principe,Birth registration (%)+ 2005–2012* total,75
Sao Tome and Principe,Justification of wife beating (%)  2005–2012* male,22
Sao Tome and Principe,Justification of wife beating (%)  2005–2012* female,20
Senegal,Child labour (%)+ 2005–2012* total,17
Senegal,Child labour (%)+ 2005–2012* male,18
Senegal,Child labour (%)+ 2005–2012* female,16
Senegal,Child marriage (%) 2005–2012* married by 15,12
Senegal,Child marriage (%) 2005–2012* married by 18,33
Senegal,Birth registration (%)+ 2005–2012* total,75
Senegal,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,26
Senegal,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,18
Senegal,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,17
Senegal,Justification of wife beating (%)  2005–2012* male,25
Senegal,Justification of wife beating (%)  2005–2012* female,60
Serbia,Child labour (%)+ 2005–2012* total,4
Serbia,Child labour (%)+ 2005–2012* male,5
Serbia,Child labour (%)+ 2005–2012* female,4
Serbia,Child marriage (%) 2005–2012* married by 15,1
Serbia,Child marriage (%) 2005–2012* married by 18,5
Serbia,Birth registration (%)+ 2005–2012* total,99
Serbia,Justification of wife beating (%)  2005–2012* male,7
Serbia,Justification of wife beating (%)  2005–2012* female,3
Serbia,Violent discipline (%)+ 2005–2012* total,67
Serbia,Violent discipline (%)+ 2005–2012* male,70
Serbia,Violent discipline (%)+ 2005–2012* female,64
Sierra Leone,Child labour (%)+ 2005–2012* total,26
Sierra Leone,Child labour (%)+ 2005–2012* male,27
Sierra Leone,Child labour (%)+ 2005–2012* female,25
Sierra Leone,Child marriage (%) 2005–2012* married by 15,18
Sierra Leone,Child marriage (%) 2005–2012* married by 18,44
Sierra Leone,Birth registration (%)+ 2005–2012* total,78
Sierra Leone,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,88
Sierra Leone,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,13
Sierra Leone,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,66
Sierra Leone,Justification of wife beating (%)  2005–2012* female,73
Sierra Leone,Violent discipline (%)+ 2005–2012* total,82
Sierra Leone,Violent discipline (%)+ 2005–2012* male,81
Sierra Leone,Violent discipline (%)+ 2005–2012* female,82
Sloakia,Birth registration (%)+ 2005–2012* total,100
Sloenia,Birth registration (%)+ 2005–2012* total,100
Solomon Islands,Child marriage (%) 2005–2012* married by 15,3
Solomon Islands,Child marriage (%) 2005–2012* married by 18,22
Solomon Islands,Justification of wife beating (%)  2005–2012* male,65
Solomon Islands,Justification of wife beating (%)  2005–2012* female,69
Solomon Islands,Violent discipline (%)+ 2005–2012* total,72
Somalia,Child labour (%)+ 2005–2012* total,49
Somalia,Child labour (%)+ 2005–2012* male,45
Somalia,Child labour (%)+ 2005–2012* female,54
Somalia,Child marriage (%) 2005–2012* married by 15,8
Somalia,Child marriage (%) 2005–2012* married by 18,45
Somalia,Birth registration (%)+ 2005–2012* total,3
Somalia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,98
Somalia,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,46
Somalia,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,65
Somalia,Justification of wife beating (%)  2005–2012* female,76
South Africa,Child marriage (%) 2005–2012* married by 15,1
South Africa,Child marriage (%) 2005–2012* married by 18,6
South Africa,Birth registration (%)+ 2005–2012* total,95
South Sudan,Child marriage (%) 2005–2012* married by 15,9
South Sudan,Child marriage (%) 2005–2012* married by 18,52
South Sudan,Birth registration (%)+ 2005–2012* total,35
South Sudan,Justification of wife beating (%)  2005–2012* female,79
Spain,Birth registration (%)+ 2005–2012* total,100
Sri Lanka,Child marriage (%) 2005–2012* married by 15,2
Sri Lanka,Child marriage (%) 2005–2012* married by 18,12
Sri Lanka,Birth registration (%)+ 2005–2012* total,97
Sri Lanka,Justification of wife beating (%)  2005–2012* female,53
State of Palestine,Child labour (%)+ 2005–2012* total,6
State of Palestine,Child labour (%)+ 2005–2012* male,7
State of Palestine,Child labour (%)+ 2005–2012* female,4
State of Palestine,Child marriage (%) 2005–2012* married by 15,2
State of Palestine,Child marriage (%) 2005–2012* married by 18,21
State of Palestine,Birth registration (%)+ 2005–2012* total,99
State of Palestine,Violent discipline (%)+ 2005–2012* total,93
State of Palestine,Violent discipline (%)+ 2005–2012* male,94
State of Palestine,Violent discipline (%)+ 2005–2012* female,92
Sudan,Child marriage (%) 2005–2012* married by 15,7
Sudan,Child marriage (%) 2005–2012* married by 18,33
Sudan,Birth registration (%)+ 2005–2012* total,59
Sudan,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,88
Sudan,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,37
Sudan,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,42
Sudan,Justification of wife beating (%)  2005–2012* female,47
Suriname,Child labour (%)+ 2005–2012* total,4
Suriname,Child labour (%)+ 2005–2012* male,4
Suriname,Child labour (%)+ 2005–2012* female,4
Suriname,Child marriage (%) 2005–2012* married by 15,5
Suriname,Child marriage (%) 2005–2012* married by 18,19
Suriname,Birth registration (%)+ 2005–2012* total,99
Suriname,Justification of wife beating (%)  2005–2012* female,13
Suriname,Violent discipline (%)+ 2005–2012* total,86
Suriname,Violent discipline (%)+ 2005–2012* male,87
Suriname,Violent discipline (%)+ 2005–2012* female,85
Swaziland,Child labour (%)+ 2005–2012* total,7
Swaziland,Child labour (%)+ 2005–2012* male,8
Swaziland,Child labour (%)+ 2005–2012* female,7
Swaziland,Child marriage (%) 2005–2012* married by 15,1
Swaziland,Child marriage (%) 2005–2012* married by 18,7
Swaziland,Birth registration (%)+ 2005–2012* total,50
Swaziland,Justification of wife beating (%)  2005–2012* male,23
Swaziland,Justification of wife beating (%)  2005–2012* female,28
Swaziland,Violent discipline (%)+ 2005–2012* total,89
Swaziland,Violent discipline (%)+ 2005–2012* male,90
Swaziland,Violent discipline (%)+ 2005–2012* female,88
Sweden,Birth registration (%)+ 2005–2012* total,100
Switzerland,Birth registration (%)+ 2005–2012* total,100
Srian Arab Republic,Child labour (%)+ 2005–2012* total,4
Srian Arab Republic,Child labour (%)+ 2005–2012* male,5
Srian Arab Republic,Child labour (%)+ 2005–2012* female,3
Srian Arab Republic,Child marriage (%) 2005–2012* married by 15,3
Srian Arab Republic,Child marriage (%) 2005–2012* married by 18,13
Srian Arab Republic,Birth registration (%)+ 2005–2012* total,96
Srian Arab Republic,Violent discipline (%)+ 2005–2012* total,89
Srian Arab Republic,Violent discipline (%)+ 2005–2012* male,90
Srian Arab Republic,Violent discipline (%)+ 2005–2012* female,88
Tajikistan,Child labour (%)+ 2005–2012* total,10
Tajikistan,Child labour (%)+ 2005–2012* male,9
Tajikistan,Child labour (%)+ 2005–2012* female,11
Tajikistan,Child marriage (%) 2005–2012* married by 15,1
Tajikistan,Child marriage (%) 2005–2012* married by 18,13
Tajikistan,Birth registration (%)+ 2005–2012* total,88
Tajikistan,Justification of wife beating (%)  2005–2012* female,74
Tajikistan,Violent discipline (%)+ 2005–2012* total,78
Tajikistan,Violent discipline (%)+ 2005–2012* male,80
Tajikistan,Violent discipline (%)+ 2005–2012* female,75
Thailand,Child labour (%)+ 2005–2012* total,8
Thailand,Child labour (%)+ 2005–2012* male,8
Thailand,Child labour (%)+ 2005–2012* female,8
Thailand,Child marriage (%) 2005–2012* married by 15,3
Thailand,Child marriage (%) 2005–2012* married by 18,20
Thailand,Birth registration (%)+ 2005–2012* total,100
The former Yugosla    Republic of Macedonia,Child labour (%)+ 2005–2012* total,13
The former Yugosla    Republic of Macedonia,Child labour (%)+ 2005–2012* male,12
The former Yugosla    Republic of Macedonia,Child labour (%)+ 2005–2012* female,13
The former Yugosla    Republic of Macedonia,Child marriage (%) 2005–2012* married by 15,1
The former Yugosla    Republic of Macedonia,Child marriage (%) 2005–2012* married by 18,7
The former Yugosla    Republic of Macedonia,Birth registration (%)+ 2005–2012* total,100
The former Yugosla    Republic of Macedonia,Justification of wife beating (%)  2005–2012* female,15
The former Yugosla    Republic of Macedonia,Violent discipline (%)+ 2005–2012* total,69
The former Yugosla    Republic of Macedonia,Violent discipline (%)+ 2005–2012* male,71
The former Yugosla    Republic of Macedonia,Violent discipline (%)+ 2005–2012* female,67
Timor-Leste,Child labour (%)+ 2005–2012* total,4
Timor-Leste,Child labour (%)+ 2005–2012* male,4
Timor-Leste,Child labour (%)+ 2005–2012* female,4
Timor-Leste,Child marriage (%) 2005–2012* married by 15,3
Timor-Leste,Child marriage (%) 2005–2012* married by 18,19
Timor-Leste,Birth registration (%)+ 2005–2012* total,55
Timor-Leste,Justification of wife beating (%)  2005–2012* male,81
Timor-Leste,Justification of wife beating (%)  2005–2012* female,86
Togo,Child labour (%)+ 2005–2012* total,28
Togo,Child labour (%)+ 2005–2012* male,28
Togo,Child labour (%)+ 2005–2012* female,29
Togo,Child marriage (%) 2005–2012* married by 15,6
Togo,Child marriage (%) 2005–2012* married by 18,25
Togo,Birth registration (%)+ 2005–2012* total,78
Togo,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,4
Togo,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,2
Togo,Justification of wife beating (%)  2005–2012* female,43
Togo,Violent discipline (%)+ 2005–2012* total,93
Togo,Violent discipline (%)+ 2005–2012* male,94
Togo,Violent discipline (%)+ 2005–2012* female,93
Trinidad and Tobago,Child labour (%)+ 2005–2012* total,1
Trinidad and Tobago,Child labour (%)+ 2005–2012* male,1
Trinidad and Tobago,Child labour (%)+ 2005–2012* female,1
Trinidad and Tobago,Child marriage (%) 2005–2012* married by 15,2
Trinidad and Tobago,Child marriage (%) 2005–2012* married by 18,8
Trinidad and Tobago,Birth registration (%)+ 2005–2012* total,97
Trinidad and Tobago,Justification of wife beating (%)  2005–2012* female,8
Trinidad and Tobago,Violent discipline (%)+ 2005–2012* total,77
Trinidad and Tobago,Violent discipline (%)+ 2005–2012* male,78
Trinidad and Tobago,Violent discipline (%)+ 2005–2012* female,77
Tunisia,Child labour (%)+ 2005–2012* total,2
Tunisia,Child labour (%)+ 2005–2012* male,3
Tunisia,Child labour (%)+ 2005–2012* female,2
Tunisia,Child marriage (%) 2005–2012* married by 18,2
Tunisia,Birth registration (%)+ 2005–2012* total,99
Tunisia,Justification of wife beating (%)  2005–2012* female,30
Tunisia,Violent discipline (%)+ 2005–2012* total,93
Tunisia,Violent discipline (%)+ 2005–2012* male,94
Tunisia,Violent discipline (%)+ 2005–2012* female,92
Turke,Child labour (%)+ 2005–2012* total,3
Turke,Child labour (%)+ 2005–2012* male,3
Turke,Child labour (%)+ 2005–2012* female,2
Turke,Child marriage (%) 2005–2012* married by 15,3
